CategoryID,CountryID
1,1
2,1
2,1
2,1
3,1
3,1
3,1
3,1
3,1
3,1
2,1
3,1
2,1
3,1
2,1
3,1
2,1
3,1
2,1
3,1
2,1
3,1
3,1
2,1
3,1
2,1
2,1
3,1
2,1
3,1
3,1
2,1
2,1
2,1
2,1
3,1
2,1
3,1
3,1
3,1
2,1
1,1
3,1
2,1
3,1
3,1
2,1
2,1
2,1
3,1
2,1
2,1
2,1
2,1
1,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
4,1
2,1
2,1
2,1
4,1
4,1
2,1
2,1
4,1
4,1
4,1
2,1
1,1
4,1
4,1
4,1
4,1
4,1
4,1
4,1
4,1
4,1
4,1
3,1
3,1
3,1
4,1
3,1
3,1
3,1
3,1
4,1
3,1
3,1
5,1
3,1
3,1
3,1
3,1
1,1
3,1
3,1
3,1
3,1
3,1
3,1
6,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
4,1
3,1
3,1
3,1
3,1
3,1
1,1
1,1
3,1
1,1
3,1
3,1
5,1
3,1
5,1
1,1
5,1
3,1
5,1
3,1
3,1
3,1
3,1
3,1
3,1
1,1
3,1
3,1
3,1
3,1
3,1
1,1
3,1
3,1
3,1
3,1
3,1
3,1
1,1
5,1
3,1
3,1
3,1
3,1
1,1
1,1
3,1
5,1
5,1
1,1
1,1
3,1
5,1
1,1
3,1
1,1
1,1
5,1
5,1
5,1
6,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
4,1
5,1
5,1
4,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
6,1
5,1
5,1
5,1
1,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
1,1
5,1
5,1
5,1
5,1
5,1
4,1
5,1
1,1
5,1
5,1
5,1
5,1
2,1
2,1
4,1
5,1
2,1
2,1
5,1
2,1
2,1
2,1
2,1
2,1
2,1
4,1
2,1
2,1
2,1
1,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
1,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
4,1
2,1
2,1
4,1
4,1
4,1
4,1
4,1
5,1
4,1
4,1
2,1
2,1
2,1
2,1
4,1
4,1
4,1
2,1
4,1
2,1
2,1
4,1
4,1
6,2
6,2
6,2
6,2
6,2
6,2
6,2
6,2
7,2
6,2
6,2
6,2
6,2
6,2
6,2
6,2
6,2
6,2
6,2
8,2
6,2
6,2
6,2
6,2
6,2
9,2
6,2
6,2
6,2
6,2
6,2
6,2
6,2
6,2
6,2
6,2
6,2
6,2
6,2
6,2
6,2
6,2
6,2
6,2
7,2
6,2
6,2
6,2
6,2
6,2
6,2
6,2
6,2
6,2
6,2
6,2
6,2
6,2
6,2
6,2
6,2
6,2
6,2
6,2
6,2
6,2
6,2
6,2
6,2
6,2
6,2
6,2
6,2
6,2
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
11,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
11,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
13,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
13,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
13,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
13,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
13,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
13,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
13,4
12,4
13,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
13,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
12,4
14,4
12,4
12,4
12,4
12,4
12,4
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
16,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
